epoch,iter,iter_total,iter_str,total_loss,avg_total_loss,lr,elapsed_sec,loss_bbox,avg_loss_bbox,loss_ce,avg_loss_ce,loss_giou,avg_loss_giou
1,50,500,50/500,2.990359306335449,3.746674370765686,0.0005,57.1385,1.0544989109039307,1.4905559086799622,0.6292335987091064,0.6433750689029694,1.3066266775131226,1.6127433824539184
1,100,500,100/500,3.382225513458252,3.5606330847740173,0.0005,80.4241,1.2887639999389648,1.374081022143364,0.6361135244369507,0.6430495482683182,1.457348108291626,1.543502506017685
1,150,500,150/500,3.2878012657165527,3.544400528271993,0.0005,103.9492,1.162196397781372,1.3550080915292104,0.639739453792572,0.6439764396349589,1.4858653545379639,1.5454160006841025
1,200,500,200/500,3.2586183547973633,3.486060547828674,0.0005,126.869,1.223992109298706,1.3229000660777093,0.6415231823921204,0.6438750684261322,1.3931031227111816,1.5192854118347168
1,250,500,250/500,3.2282633781433105,3.460438319206238,0.0005,150.0143,1.180467963218689,1.3057957565784455,0.6421242952346802,0.6437780447006226,1.4056711196899414,1.5108645181655884
1,300,500,300/500,3.018190383911133,3.4106475273768107,0.0005,172.9142,1.0354923009872437,1.2760307478904724,0.6506959199905396,0.6437722263733546,1.3320022821426392,1.4908445497353873
1,350,500,350/500,3.273383140563965,3.385550116130284,0.0005,195.9927,1.1931129693984985,1.2604788102422442,0.6327787041664124,0.6438918074539729,1.4474916458129883,1.4811794972419738
1,400,500,400/500,3.1226422786712646,3.379461891055107,0.0005,218.9435,1.162429928779602,1.2552513900399207,0.6406056880950928,0.6440466181933879,1.3196066617965698,1.4801638811826705
1,450,500,450/500,2.911679267883301,3.3683576578564116,0.0005,241.6456,1.0160775184631348,1.2493336737155913,0.6481812596321106,0.643620813952552,1.2474205493927002,1.47540316634708
1,500,500,500/500,3.213005542755127,3.3638513283729554,0.0005,264.1602,1.1062625646591187,1.2453643609285354,0.6410571336746216,0.6439679917097092,1.4656857252120972,1.4745189740657807
2,50,500,50/500,3.6669762134552,3.236256890296936,0.0005,58.7469,1.3911287784576416,1.1739406502246856,0.6517060399055481,0.6424549114704132,1.6241413354873657,1.419861319065094
2,100,500,100/500,3.703044891357422,3.25505343914032,0.0005,81.4911,1.3183324337005615,1.1855917704105376,0.6477152109146118,0.6426227033138275,1.7369972467422485,1.4268389666080474
2,150,500,150/500,2.963341474533081,3.3419197543462116,0.0005,104.2887,1.0311615467071533,1.237023446559906,0.6396805047988892,0.6416055703163147,1.2924994230270386,1.4632907366752625
2,200,500,200/500,3.3939003944396973,3.3182319796085356,0.0005,127.0925,1.2510417699813843,1.2244590681791305,0.6457474827766418,0.6415192180871964,1.4971113204956055,1.4522536927461625
2,250,500,250/500,2.951786756515503,3.3028932600021363,0.0005,149.7181,1.0386885404586792,1.2145608072280885,0.6177754402160645,0.6402241342067718,1.2953227758407593,1.4481083250045776
2,300,500,300/500,3.455277919769287,3.3015847619374594,0.0005,172.4392,1.3367094993591309,1.2151456940174103,0.636837899684906,0.637231281598409,1.4817304611206055,1.44920778910319
2,350,500,350/500,3.192506790161133,3.2919201312746322,0.0005,194.9792,1.1063731908798218,1.2102548841067722,0.633958101272583,0.636552517754691,1.452175498008728,1.445112727710179
2,400,500,400/500,3.4583730697631836,3.3006444424390793,0.0005,217.3636,1.3828282356262207,1.217021537721157,0.4647527039051056,0.6333627916127443,1.6107920408248901,1.4502601116895675
2,450,500,450/500,3.332874059677124,3.3349196365144516,0.0005,240.2948,1.3411498069763184,1.2435969299740262,0.5912030935287476,0.6229418600267834,1.400521159172058,1.4683808453877767
2,500,500,500/500,3.2673048973083496,3.3274730706214903,0.0005,262.951,1.2375576496124268,1.245806026697159,0.49872666597366333,0.6151974780559539,1.5310206413269043,1.4664695630073548
3,50,500,50/500,3.187340497970581,3.1535421562194825,0.0005,52.6239,1.2073153257369995,1.2180517327785492,0.5009329319000244,0.5008555942773819,1.4790922403335571,1.4346348309516908
3,100,500,100/500,3.050740957260132,3.150994212627411,0.0005,75.564,1.3115365505218506,1.2413213449716567,0.4156131148338318,0.47587478637695313,1.3235912322998047,1.4337980878353118
