epoch,iter,iter_total,iter_str,total_loss,avg_total_loss,lr,elapsed_sec,loss_bbox,avg_loss_bbox,loss_ce,avg_loss_ce,loss_giou,avg_loss_giou
1,2,2,2/2,3.6981256008148193,4.190024971961975,5e-05,11.8598,1.2593247890472412,1.329208791255951,0.8198304176330566,1.157753348350525,1.618970274925232,1.703062891960144
2,2,2,2/2,3.560432195663452,3.527155876159668,5e-05,11.5955,1.2084319591522217,1.2358832359313965,0.889430582523346,0.8144626915454865,1.4625695943832397,1.4768098592758179
3,2,2,2/2,3.443276882171631,3.509360671043396,5e-05,11.3946,1.120453953742981,1.16461580991745,0.8701622486114502,0.8806589245796204,1.4526609182357788,1.46408611536026
4,2,2,2/2,3.4800102710723877,3.5473984479904175,5e-05,11.3068,1.1278812885284424,1.184718906879425,0.8468602895736694,0.858877032995224,1.5052685737609863,1.5038025379180908
5,2,2,2/2,3.2579033374786377,3.447775721549988,5e-05,11.4136,1.0403950214385986,1.1611517667770386,0.8189059495925903,0.8219968676567078,1.3986024856567383,1.464627206325531
6,2,2,2/2,3.3719654083251953,3.489605188369751,5e-05,11.3443,1.1367474794387817,1.185948133468628,0.8047047853469849,0.7907267808914185,1.4305133819580078,1.5129302740097046
7,2,2,2/2,3.526384115219116,3.428809404373169,5e-05,11.5699,1.1919262409210205,1.1636242866516113,0.7341326475143433,0.7444115281105042,1.600325107574463,1.5207735300064087
8,2,2,2/2,3.252432107925415,3.4627209901809692,5e-05,11.6903,1.040290117263794,1.1746216416358948,0.7992473840713501,0.7937073409557343,1.412894606590271,1.4943919777870178
9,2,2,2/2,3.520946502685547,3.475804328918457,5e-05,10.6443,1.3110352754592896,1.264512836933136,0.7307698726654053,0.7692934572696686,1.4791412353515625,1.4419979453086853
10,2,2,2/2,3.1458640098571777,3.2702263593673706,5e-05,11.1322,1.0681333541870117,1.160335898399353,0.7410183548927307,0.7161075174808502,1.3367122411727905,1.3937829732894897
11,2,2,2/2,3.248823404312134,3.3501592874526978,5e-05,11.2287,1.1050784587860107,1.1622443795204163,0.7816593050956726,0.7878566384315491,1.3620857000350952,1.4000583291053772
12,2,2,2/2,3.5343146324157715,3.388291120529175,5e-05,11.4077,1.2089086771011353,1.136286735534668,0.7885540723800659,0.7912024557590485,1.5368518829345703,1.4608019590377808
13,2,2,2/2,3.404007911682129,3.5435993671417236,5e-05,11.3275,1.1660295724868774,1.2258061170578003,0.7193130254745483,0.7563514411449432,1.5186655521392822,1.5614418983459473
14,2,2,2/2,3.1607768535614014,3.2172197103500366,5e-05,11.1119,0.9939837455749512,1.0661763548851013,0.7775344252586365,0.7466293275356293,1.3892587423324585,1.4044140577316284
15,2,2,2/2,2.975358009338379,3.044828176498413,5e-05,11.1455,0.9654802083969116,1.014837622642517,0.7088492512702942,0.7101518511772156,1.3010286092758179,1.3198387026786804
16,2,2,2/2,3.107008695602417,3.040162444114685,5e-05,11.4867,1.0502862930297852,0.9988662600517273,0.7398669123649597,0.7271266281604767,1.3168554306030273,1.3141695261001587
17,2,2,2/2,2.9946208000183105,3.019284963607788,5e-05,11.4047,0.9664212465286255,1.01248437166214,0.7109202742576599,0.6966775059700012,1.3172791004180908,1.3101230263710022
18,2,2,2/2,2.9917566776275635,3.003353238105774,5e-05,11.251,0.9528458118438721,0.9715266525745392,0.7427786588668823,0.7195495963096619,1.2961320877075195,1.3122769594192505
19,2,2,2/2,2.861722946166992,2.817473888397217,5e-05,11.0892,0.9057074785232544,0.8919423222541809,0.7180054783821106,0.691351979970932,1.2380098104476929,1.2341794967651367
20,2,2,2/2,3.2420358657836914,3.085159182548523,5e-05,11.4477,1.0994200706481934,1.034054696559906,0.7195713520050049,0.7141767740249634,1.4230444431304932,1.3369277119636536
21,2,2,2/2,2.9001827239990234,2.9368858337402344,5e-05,11.5986,0.9474738836288452,0.9769781827926636,0.6959829926490784,0.683353453874588,1.2567260265350342,1.2765543460845947
22,2,2,2/2,3.202296733856201,3.2078094482421875,5e-06,11.8637,1.1392873525619507,1.1017376780509949,0.5915414690971375,0.6382175087928772,1.4714677333831787,1.4678541421890259
23,2,2,2/2,3.136544704437256,3.111066460609436,5e-06,11.9398,1.0457282066345215,1.0380939245224,0.6411578059196472,0.6630061566829681,1.449658751487732,1.4099663496017456
24,2,2,2/2,3.159113883972168,3.184820294380188,5e-06,11.2322,1.1258387565612793,1.1266595125198364,0.5969743728637695,0.5992062389850616,1.4363006353378296,1.4589545130729675
25,2,2,2/2,3.1137404441833496,3.136716604232788,5e-06,11.6342,1.0631117820739746,1.0775853991508484,0.6113407015800476,0.6528514325618744,1.4392880201339722,1.406279742717743
26,2,2,2/2,2.9838030338287354,2.9767836332321167,5e-06,11.3736,0.982181966304779,0.9844843447208405,0.6733226180076599,0.6812662184238434,1.3282983303070068,1.311033010482788
27,2,2,2/2,3.106945037841797,3.0120259523391724,5.000000000000001e-07,11.1282,1.067551851272583,1.0259794294834137,0.6343581080436707,0.6374328434467316,1.4050350189208984,1.3486136198043823
28,2,2,2/2,2.9155590534210205,2.954004406929016,5.000000000000001e-07,11.4554,0.9470429420471191,1.0117533206939697,0.670846700668335,0.5825867056846619,1.2976694107055664,1.3596643209457397
29,2,2,2/2,2.941429615020752,2.93825900554657,5.000000000000001e-07,11.2284,0.9759408235549927,0.9930893778800964,0.639515221118927,0.6229487061500549,1.3259735107421875,1.3222209215164185
30,2,2,2/2,3.0107598304748535,2.893021583557129,5.000000000000001e-07,11.4262,1.0657013654708862,0.9699496626853943,0.6074411273002625,0.6250527799129486,1.33761727809906,1.2980191111564636
